data;currency;value
20230102;THB;0.1267
20230103;THB;0.129
20230104;THB;0.1292
20230105;THB;0.1295
20230109;THB;0.1314
20230110;THB;0.1304
20230111;THB;0.1308
20230112;THB;0.1306
20230113;THB;0.1312
20230116;THB;0.1317
20230117;THB;0.1311
20230118;THB;0.1319
20230119;THB;0.1316
20230120;THB;0.1326
20230123;THB;0.1321
20230124;THB;0.132
20230125;THB;0.1319
20230126;THB;0.1323
20230127;THB;0.1316
20230130;THB;0.1322
20230131;THB;0.1317
20230201;THB;0.1317
20230202;THB;0.1305
20230203;THB;0.1303
20230206;THB;0.1302
20230207;THB;0.1319
20230208;THB;0.1317
20230209;THB;0.1315
20230210;THB;0.1319
20230213;THB;0.1323
20230214;THB;0.1315
20230215;THB;0.1293
20230216;THB;0.13
20230217;THB;0.1297
20230220;THB;0.1293
20230221;THB;0.1288
20230222;THB;0.1292
20230223;THB;0.1295
20230224;THB;0.1281
20230227;THB;0.1273
20230228;THB;0.1258
20230301;THB;0.1267
20230302;THB;0.1266
20230303;THB;0.1278
20230306;THB;0.1283
20230307;THB;0.1273
20230308;THB;0.1271
20230309;THB;0.1265
20230310;THB;0.1262
20230313;THB;0.1267
20230314;THB;0.1269
20230315;THB;0.1272
20230316;THB;0.1286
20230317;THB;0.1291
20230320;THB;0.1294
20230321;THB;0.1274
20230322;THB;0.1262
20230323;THB;0.1262
20230324;THB;0.1281
20230327;THB;0.1266
20230328;THB;0.1262
20230329;THB;0.1265
20230330;THB;0.1258
20230331;THB;0.1256
20230403;THB;0.1255
20230404;THB;0.1252
20230405;THB;0.1261
20230406;THB;0.1263
20230407;THB;0.1259
20230411;THB;0.1254
20230412;THB;0.1248
20230413;THB;0.1239
20230414;THB;0.1233
20230417;THB;0.123
20230418;THB;0.1231
20230419;THB;0.1225
20230420;THB;0.1221
20230421;THB;0.1222
20230424;THB;0.1218
20230425;THB;0.1213
20230426;THB;0.1215
20230427;THB;0.1217
20230428;THB;0.1225
20230502;THB;0.1222
20230504;THB;0.1228
20230505;THB;0.1233
20230508;THB;0.1222
20230509;THB;0.1233
20230510;THB;0.1231
20230511;THB;0.1226
20230512;THB;0.1226
20230515;THB;0.123
20230516;THB;0.1214
20230517;THB;0.1212
20230518;THB;0.1222
20230519;THB;0.1221
20230522;THB;0.1216
20230523;THB;0.1201
20230524;THB;0.1204
20230525;THB;0.1212
20230526;THB;0.1216
20230529;THB;0.1216
20230530;THB;0.1213
20230531;THB;0.1224
20230601;THB;0.1217
20230602;THB;0.1214
20230605;THB;0.1202
20230606;THB;0.1206
20230607;THB;0.1205
20230609;THB;0.1201
20230612;THB;0.1191
20230613;THB;0.1199
20230614;THB;0.1194
20230615;THB;0.1183
20230616;THB;0.1176
20230619;THB;0.117
20230620;THB;0.1169
20230621;THB;0.1166
20230622;THB;0.1152
20230623;THB;0.1161
20230626;THB;0.1156
20230627;THB;0.1149
20230628;THB;0.1144
20230629;THB;0.1146
20230630;THB;0.1156
20230703;THB;0.1156
20230704;THB;0.1165
20230705;THB;0.1171
20230706;THB;0.1174
20230707;THB;0.1171
20230710;THB;0.1157
20230711;THB;0.1159
20230712;THB;0.1155
20230713;THB;0.115
20230714;THB;0.1145
20230717;THB;0.1144
20230718;THB;0.1153
20230719;THB;0.1162
20230720;THB;0.1167
20230721;THB;0.116
20230724;THB;0.1166
20230725;THB;0.1162
20230726;THB;0.1167
20230727;THB;0.1165
20230728;THB;0.1169
20230731;THB;0.1168
20230801;THB;0.1175
20230802;THB;0.1182
20230803;THB;0.1178
20230804;THB;0.1168
20230807;THB;0.116
20230808;THB;0.1156
20230809;THB;0.1163
20230810;THB;0.1155
20230811;THB;0.1155
20230814;THB;0.1152
20230816;THB;0.1156
20230817;THB;0.1158
20230818;THB;0.1166
20230821;THB;0.1168
20230822;THB;0.117
20230823;THB;0.1183
20230824;THB;0.1178
20230825;THB;0.118
20230828;THB;0.1174
20230829;THB;0.1176
20230830;THB;0.1172
20230831;THB;0.1174
20230901;THB;0.1178
20230904;THB;0.1174
20230905;THB;0.1175
20230906;THB;0.118
20230907;THB;0.1205
20230908;THB;0.1211
20230911;THB;0.1214
20230912;THB;0.1227
20230913;THB;0.1209
20230914;THB;0.1206
20230915;THB;0.1213
20230918;THB;0.1217
20230919;THB;0.1208
20230920;THB;0.1205
20230921;THB;0.12
20230922;THB;0.1201
20230925;THB;0.1196
20230926;THB;0.1197
20230927;THB;0.1194
20230928;THB;0.1197
20230929;THB;0.1198
20231002;THB;0.1183
20231003;THB;0.1189
20231004;THB;0.1191
20231005;THB;0.1182
20231006;THB;0.1179
20231009;THB;0.1171
20231010;THB;0.1167
20231011;THB;0.117
20231012;THB;0.1178
20231013;THB;0.1183
20231016;THB;0.1169
20231017;THB;0.1157
20231018;THB;0.1159
20231019;THB;0.1159
20231020;THB;0.1155
20231023;THB;0.1153
20231024;THB;0.1159
20231025;THB;0.1169
20231026;THB;0.1169
20231027;THB;0.1167
20231030;THB;0.1169
20231031;THB;0.116
20231102;THB;0.1168
20231103;THB;0.1172
20231106;THB;0.1169
20231107;THB;0.1171
20231108;THB;0.1174
20231109;THB;0.1167
20231110;THB;0.1154
20231113;THB;0.1152
20231114;THB;0.1143
20231115;THB;0.1141
20231116;THB;0.114
20231117;THB;0.1149
20231120;THB;0.1138
20231121;THB;0.1132
20231122;THB;0.1141
20231123;THB;0.1133
20231124;THB;0.113
20231127;THB;0.1133
20231128;THB;0.1138
20231129;THB;0.1134
20231130;THB;0.1131
20231201;THB;0.1139
20231204;THB;0.114
20231205;THB;0.1131
20231206;THB;0.1144
20231207;THB;0.1143
20231208;THB;0.1137
20231211;THB;0.1129
20231212;THB;0.1127
20231213;THB;0.1122
20231214;THB;0.1127
20231215;THB;0.1129
20231218;THB;0.1132
20231219;THB;0.1132
20231220;THB;0.1133
20231221;THB;0.1138
20231222;THB;0.1136
20231227;THB;0.1139
20231228;THB;0.1142
20231229;THB;0.1145
20230102;USD;4.3811
20230103;USD;4.4373
20230104;USD;4.3998
20230105;USD;4.397
20230109;USD;4.401
20230110;USD;4.372
20230111;USD;4.3639
20230112;USD;4.3556
20230113;USD;4.3272
20230116;USD;4.3436
20230117;USD;4.3398
20230118;USD;4.3322
20230119;USD;4.3469
20230120;USD;4.352
20230123;USD;4.3242
20230124;USD;4.3341
20230125;USD;4.3265
20230126;USD;4.3354
20230127;USD;4.3252
20230130;USD;4.3258
20230131;USD;4.348
20230201;USD;4.3254
20230202;USD;4.2803
20230203;USD;4.2928
20230206;USD;4.3833
20230207;USD;4.4325
20230208;USD;4.4074
20230209;USD;4.4003
20230210;USD;4.4565
20230213;USD;4.4856
20230214;USD;4.4463
20230215;USD;4.4372
20230216;USD;4.4601
20230217;USD;4.4888
20230220;USD;4.4515
20230221;USD;4.4524
20230222;USD;4.4687
20230223;USD;4.4873
20230224;USD;4.463
20230227;USD;4.4697
20230228;USD;4.4475
20230301;USD;4.4094
20230302;USD;4.4002
20230303;USD;4.4341
20230306;USD;4.4289
20230307;USD;4.3981
20230308;USD;4.4626
20230309;USD;4.4356
20230310;USD;4.4266
20230313;USD;4.3906
20230314;USD;4.3793
20230315;USD;4.403
20230316;USD;4.4248
20230317;USD;4.4202
20230320;USD;4.413
20230321;USD;4.3715
20230322;USD;4.3467
20230323;USD;4.3011
20230324;USD;4.3742
20230327;USD;4.3518
20230328;USD;4.33
20230329;USD;4.3247
20230330;USD;4.3043
20230331;USD;4.2934
20230403;USD;4.3168
20230404;USD;4.2855
20230405;USD;4.2739
20230406;USD;4.3033
20230407;USD;4.2932
20230411;USD;4.2917
20230412;USD;4.2713
20230413;USD;4.2225
20230414;USD;4.2042
20230417;USD;4.2261
20230418;USD;4.2151
20230419;USD;4.2244
20230420;USD;4.2024
20230421;USD;4.2006
20230424;USD;4.1905
20230425;USD;4.1649
20230426;USD;4.1557
20230427;USD;4.1541
20230428;USD;4.1753
20230502;USD;4.1823
20230504;USD;4.1547
20230505;USD;4.1612
20230508;USD;4.1384
20230509;USD;4.1609
20230510;USD;4.1532
20230511;USD;4.1414
20230512;USD;4.1638
20230515;USD;4.149
20230516;USD;4.1228
20230517;USD;4.1504
20230518;USD;4.1929
20230519;USD;4.2053
20230522;USD;4.1881
20230523;USD;4.1634
20230524;USD;4.1573
20230525;USD;4.1994
20230526;USD;4.2156
20230529;USD;4.2234
20230530;USD;4.2242
20230531;USD;4.2559
20230601;USD;4.2399
20230602;USD;4.1903
20230605;USD;4.1933
20230606;USD;4.1964
20230607;USD;4.1887
20230609;USD;4.1545
20230612;USD;4.1169
20230613;USD;4.1439
20230614;USD;4.1393
20230615;USD;4.1203
20230616;USD;4.0715
20230619;USD;4.068
20230620;USD;4.058
20230621;USD;4.0648
20230622;USD;4.033
20230623;USD;4.0893
20230626;USD;4.0669
20230627;USD;4.0481
20230628;USD;4.0719
20230629;USD;4.0832
20230630;USD;4.1066
20230703;USD;4.0714
20230704;USD;4.0636
20230705;USD;4.0869
20230706;USD;4.1191
20230707;USD;4.1189
20230710;USD;4.0632
20230711;USD;4.0374
20230712;USD;4.0347
20230713;USD;3.9724
20230714;USD;3.9617
20230717;USD;3.9616
20230718;USD;3.9451
20230719;USD;3.9612
20230720;USD;3.971
20230721;USD;3.999
20230724;USD;4.021
20230725;USD;4.008
20230726;USD;3.9949
20230727;USD;3.9702
20230728;USD;4.0377
20230731;USD;3.9995
20230801;USD;4.0262
20230802;USD;4.0497
20230803;USD;4.081
20230804;USD;4.062
20230807;USD;4.0347
20230808;USD;4.0396
20230809;USD;4.0592
20230810;USD;4.0521
20230811;USD;4.0501
20230814;USD;4.0525
20230816;USD;4.0832
20230817;USD;4.1094
20230818;USD;4.1285
20230821;USD;4.1124
20230822;USD;4.0924
20230823;USD;4.1438
20230824;USD;4.118
20230825;USD;4.1419
20230828;USD;4.14
20230829;USD;4.1341
20230830;USD;4.1167
20230831;USD;4.1074
20230901;USD;4.1263
20230904;USD;4.1353
20230905;USD;4.1643
20230906;USD;4.1895
20230907;USD;4.289
20230908;USD;4.2958
20230911;USD;4.3077
20230912;USD;4.3711
20230913;USD;4.3225
20230914;USD;4.312
20230915;USD;4.3418
20230918;USD;4.3489
20230919;USD;4.3472
20230920;USD;4.3501
20230921;USD;4.3365
20230922;USD;4.3269
20230925;USD;4.3188
20230926;USD;4.3485
20230927;USD;4.3622
20230928;USD;4.4062
20230929;USD;4.3697
20231002;USD;4.3634
20231003;USD;4.4012
20231004;USD;4.4155
20231005;USD;4.3768
20231006;USD;4.3608
20231009;USD;4.3439
20231010;USD;4.2985
20231011;USD;4.2589
20231012;USD;4.2659
20231013;USD;4.3033
20231016;USD;4.2505
20231017;USD;4.2131
20231018;USD;4.2035
20231019;USD;4.2264
20231020;USD;4.2194
20231023;USD;4.2022
20231024;USD;4.1884
20231025;USD;4.2284
20231026;USD;4.2395
20231027;USD;4.2267
20231030;USD;4.204
20231031;USD;4.1684
20231102;USD;4.1963
20231103;USD;4.1857
20231106;USD;4.1512
20231107;USD;4.1667
20231108;USD;4.1804
20231109;USD;4.1513
20231110;USD;4.1423
20231113;USD;4.1474
20231114;USD;4.121
20231115;USD;4.0453
20231116;USD;4.0415
20231117;USD;4.0327
20231120;USD;3.9938
20231121;USD;3.9882
20231122;USD;4.018
20231123;USD;3.9969
20231124;USD;4.0103
20231127;USD;3.9769
20231128;USD;3.975
20231129;USD;3.9478
20231130;USD;3.981
20231201;USD;3.991
20231204;USD;3.985
20231205;USD;3.991
20231206;USD;4.0202
20231207;USD;4.0199
20231208;USD;4.0181
20231211;USD;4.0277
20231212;USD;4.0204
20231213;USD;4.0149
20231214;USD;3.9484
20231215;USD;3.9326
20231218;USD;3.9625
20231219;USD;3.9591
20231220;USD;3.9527
20231221;USD;3.9645
20231222;USD;3.9338
20231227;USD;3.9178
20231228;USD;3.899
20231229;USD;3.935
20230102;AUD;2.9767
20230103;AUD;2.9825
20230104;AUD;3.0231
20230105;AUD;3.0008
20230109;AUD;3.0479
20230110;AUD;3.0165
20230111;AUD;3.0161
20230112;AUD;3.0108
20230113;AUD;3.0183
20230116;AUD;3.025
20230117;AUD;3.0164
20230118;AUD;3.0435
20230119;AUD;2.9922
20230120;AUD;3.0169
20230123;AUD;3.0305
20230124;AUD;3.0422
20230125;AUD;3.068
20230126;AUD;3.0799
20230127;AUD;3.0729
20230130;AUD;3.0616
20230131;AUD;3.0485
20230201;AUD;3.0579
20230202;AUD;3.0524
20230203;AUD;3.0303
20230206;AUD;3.0225
20230207;AUD;3.0754
20230208;AUD;3.079
20230209;AUD;3.07
20230210;AUD;3.0897
20230213;AUD;3.1041
20230214;AUD;3.0992
20230215;AUD;3.0671
20230216;AUD;3.0859
20230217;AUD;3.0632
20230220;AUD;3.0701
20230221;AUD;3.0671
20230222;AUD;3.0482
20230223;AUD;3.0589
20230224;AUD;3.0275
20230227;AUD;3.0026
20230228;AUD;2.9888
20230301;AUD;2.9819
20230302;AUD;2.9638
20230303;AUD;2.9967
20230306;AUD;2.982
20230307;AUD;2.936
20230308;AUD;2.9463
20230309;AUD;2.932
20230310;AUD;2.9154
20230313;AUD;2.9081
20230314;AUD;2.911
20230315;AUD;2.9292
20230316;AUD;2.9401
20230317;AUD;2.9637
20230320;AUD;2.9466
20230321;AUD;2.9217
20230322;AUD;2.9108
20230323;AUD;2.893
20230324;AUD;2.9057
20230327;AUD;2.8933
20230328;AUD;2.8887
20230329;AUD;2.8833
20230330;AUD;2.8881
20230331;AUD;2.8715
20230403;AUD;2.8918
20230404;AUD;2.8904
20230405;AUD;2.8628
20230406;AUD;2.8828
20230407;AUD;2.8671
20230411;AUD;2.8621
20230412;AUD;2.8445
20230413;AUD;2.8392
20230414;AUD;2.8441
20230417;AUD;2.8309
20230418;AUD;2.8397
20230419;AUD;2.8328
20230420;AUD;2.8199
20230421;AUD;2.8094
20230424;AUD;2.8024
20230425;AUD;2.7762
20230426;AUD;2.7448
20230427;AUD;2.7498
20230428;AUD;2.7483
20230502;AUD;2.7994
20230504;AUD;2.7669
20230505;AUD;2.8
20230508;AUD;2.8078
20230509;AUD;2.8116
20230510;AUD;2.8045
20230511;AUD;2.7889
20230512;AUD;2.7865
20230515;AUD;2.7733
20230516;AUD;2.7577
20230517;AUD;2.7553
20230518;AUD;2.7811
20230519;AUD;2.7969
20230522;AUD;2.7807
20230523;AUD;2.7602
20230524;AUD;2.7351
